generation,best_fitness,avg_fitness,median_eta,median_lambda,median_drift
131,3.0,0.078125,0.10155721182596086,0.16450471700610858,0.216393700825337
132,4.0,0.15625,0.10169452134937602,0.16450471700610858,0.3959743674325571
133,3.0,0.09375,0.10096359788445819,0.16450471700610858,0.29595257236695716
134,3.0,0.1171875,0.10121805985554493,0.16450471700610858,0.3984328153772259
135,5.0,0.1484375,0.1011132300867723,0.15411062547342344,0.3214301771474234
136,3.0,0.125,0.10052726668112831,0.15373560245518758,0.5216806057633974
137,4.0,0.109375,0.09981517439648079,0.17030355726894875,0.35715496733758634
138,4.0,0.1640625,0.10020821143219241,0.1726137978070646,0.4163169398970087
139,4.0,0.140625,0.10000239572582192,0.1591497572205549,0.32288494104719406
140,4.0,0.125,0.10059009215624551,0.1726137978070646,0.39508907517947744
141,4.0,0.2109375,0.10088840739027796,0.1591497572205549,0.2898496741860953
142,3.0,0.1640625,0.10080985802631823,0.1726137978070646,0.21994016570553138
143,3.0,0.1875,0.102024523722657,0.1359192659506838,0.40855644042094275
144,3.0,0.0546875,0.10295169459512378,0.1438123460048305,0.3420687280513769
145,5.0,0.2421875,0.1029268636807389,0.17605605993835238,0.5378467142811216
146,3.0,0.1328125,0.10271993342801478,0.20275459507888483,0.2933802331334303
147,3.0,0.125,0.10213125919809765,0.20275459507888483,0.5031937827566609
148,4.0,0.203125,0.10110135490948258,0.26431829256790745,0.42082044043819344
149,3.0,0.2109375,0.10097549912118703,0.26431829256790745,0.36715036635100146
150,3.0,0.171875,0.10047341764048576,0.28494734939273736,0.43531981637948025
151,4.0,0.234375,0.09963100427528514,0.26431829256790745,0.4378350366487522
152,3.0,0.1328125,0.09944926888434541,0.2870954454412881,0.5200397369666651
153,3.0,0.359375,0.09936120202422014,0.31427188057753613,0.49009762612150315
154,3.0,0.28125,0.09947680171567758,0.3032225798343617,0.47030829906001637
155,3.0,0.265625,0.09942236299048955,0.27116609292005156,0.5112298919450844
156,3.0,0.25,0.09990016051697485,0.2690124837324508,0.627963684346269
157,4.0,0.2421875,0.09948499268783996,0.2690124837324508,0.42482817079018664
158,4.0,0.375,0.09914098591580178,0.26666538815017915,0.32171415197362596
159,4.0,0.359375,0.10011433507515488,0.25471726801265165,0.4982452841895925
160,3.0,0.140625,0.10109635636862674,0.25292186901666536,0.45720080012382847
161,3.0,0.3203125,0.10211705376608989,0.251126470020679,0.5766694092496869
162,3.0,0.25,0.10228771593155284,0.251126470020679,0.5735475289613574
163,2.0,0.15625,0.10261649674775694,0.251126470020679,0.5139299042582616
